record_id,employee_id,employee_name,department,position,basic_salary,allowance,overtime_hours,overtime_pay,gross_pay,tax,sss,philhealth,net_pay,status,hire_date,pay_date
27,EMP-1027,Employee 27,Marketing,Brand Strategist,45507,5000,18,6399.42,56906.42,6828.77,1125.0,1422.66,47529.99,active,2022-11-06,2024-01-31
28,EMP-1028,Employee 28,Operations,Operations Manager,57580,3000,17,7647.34,68227.34,8187.28,1125.0,1705.68,57209.38,active,2023-06-10,2024-01-31
29,EMP-1029,Employee 29,Sales,Account Executive,42916,7500,32,10729.0,61145.0,7337.4,1125.0,1528.62,51153.98,active,2020-12-30,2024-01-31
30,EMP-1030,Employee 30,Finance,Accountant,39602,5000,5,1546.95,46148.95,5537.87,1125.0,1153.72,38332.36,on_leave,2019-07-16,2024-01-31
31,EMP-1031,Employee 31,Engineering,Junior Developer,33126,5000,3,776.39,38902.39,4668.29,1125.0,972.56,32136.54,resigned,2019-03-11,2024-01-31
32,EMP-1032,Employee 32,Operations,Logistics Officer,36957,2000,33,9527.98,48484.98,5818.2,1125.0,1212.12,40329.66,on_leave,2018-02-15,2024-01-31
33,EMP-1033,Employee 33,Operations,Operations Analyst,34238,3000,17,4547.23,41785.23,5014.23,1125.0,1044.63,34601.37,active,2022-06-15,2024-01-31
34,EMP-1034,Employee 34,Sales,Sales Manager,49495,7500,5,1933.4,58928.4,7071.41,1125.0,1473.21,49258.78,on_leave,2022-12-07,2024-01-31
35,EMP-1035,Employee 35,Finance,Financial Analyst,39945,7500,39,12170.74,59615.74,7153.89,1125.0,1490.39,49846.46,active,2022-02-18,2024-01-31
36,EMP-1036,Employee 36,Engineering,Senior Developer,68219,7500,25,13324.02,89043.02,10685.16,1125.0,2226.08,75006.78,resigned,2022-06-03,2024-01-31
37,EMP-1037,Employee 37,Engineering,Senior Developer,67037,2000,2,1047.45,70084.45,8410.13,1125.0,1752.11,58797.21,active,2020-02-09,2024-01-31
38,EMP-1038,Employee 38,Engineering,Tech Lead,94143,5000,40,29419.69,128562.69,15427.52,1125.0,3214.07,108796.1,active,2023-01-31,2024-01-31
39,EMP-1039,Employee 39,Operations,Logistics Officer,32719,2000,2,511.23,35230.23,4227.63,1125.0,880.76,28996.84,on_leave,2021-02-01,2024-01-31
40,EMP-1040,Employee 40,HR,Recruiter,32855,2000,11,2823.48,37678.48,4521.42,1125.0,941.96,31090.1,active,2022-02-19,2024-01-31
41,EMP-1041,Employee 41,Marketing,Brand Strategist,46651,5000,20,7289.22,58940.22,7072.83,1125.0,1473.51,49268.88,active,2020-08-18,2024-01-31
42,EMP-1042,Employee 42,Marketing,Marketing Manager,56730,7500,36,15955.31,80185.31,9622.24,1125.0,2004.63,67433.44,on_leave,2020-03-02,2024-01-31
43,EMP-1043,Employee 43,Sales,Account Executive,40602,7500,6,1903.22,50005.22,6000.63,1125.0,1250.13,41629.46,resigned,2019-03-10,2024-01-31
44,EMP-1044,Employee 44,Sales,Account Executive,41512,5000,21,6810.56,53322.56,6398.71,1125.0,1333.06,44465.79,on_leave,2023-05-31,2024-01-31
45,EMP-1045,Employee 45,HR,HR Associate,26121,5000,13,2652.91,33773.91,4052.87,1125.0,844.35,27751.69,active,2019-06-05,2024-01-31
46,EMP-1046,Employee 46,Marketing,Marketing Associate,27824,3000,16,3478.0,34302.0,4116.24,1125.0,857.55,28203.21,active,2020-12-14,2024-01-31
47,EMP-1047,Employee 47,Finance,Accountant,39035,3000,6,1829.77,43864.77,5263.77,1125.0,1096.62,36379.38,resigned,2020-09-09,2024-01-31
48,EMP-1048,Employee 48,Sales,Sales Associate,26286,5000,11,2258.95,33544.95,4025.39,1125.0,838.62,27555.94,active,2023-05-31,2024-01-31
49,EMP-1049,Employee 49,Finance,Finance Manager,65432,7500,33,16869.19,89801.19,10776.14,1125.0,2245.03,75655.02,resigned,2020-12-11,2024-01-31
50,EMP-1050,Employee 50,HR,Recruiter,30277,2000,28,6623.09,38900.09,4668.01,1125.0,972.5,32134.58,resigned,2022-07-07,2024-01-31
51,EMP-1051,Employee 51,Finance,Accountant,39015,7500,10,3048.05,49563.05,5947.57,1125.0,1239.08,41251.4,active,2020-03-01,2024-01-31
52,EMP-1052,Employee 52,Operations,Operations Manager,60009,5000,1,468.82,65477.82,7857.34,1125.0,1636.95,54858.53,resigned,2023-06-04,2024-01-31
53,EMP-1053,Employee 53,Finance,Accountant,38593,7500,36,10854.28,56947.28,6833.67,1125.0,1423.68,47564.93,resigned,2018-02-11,2024-01-31
54,EMP-1054,Employee 54,Engineering,Senior Developer,69708,5000,17,9258.09,83966.09,10075.93,1125.0,2099.15,70666.01,active,2021-05-09,2024-01-31
55,EMP-1055,Employee 55,Finance,Accountant,36197,2000,28,7918.09,46115.09,5533.81,1125.0,1152.88,38303.4,active,2021-12-01,2024-01-31
56,EMP-1056,Employee 56,Marketing,Marketing Associate,29037,5000,21,4763.88,38800.88,4656.11,1125.0,970.02,32049.75,active,2020-01-02,2024-01-31
57,EMP-1057,Employee 57,Sales,Sales Manager,50121,3000,21,8222.98,61343.98,7361.28,1125.0,1533.6,51324.1,on_leave,2020-05-23,2024-01-31
58,EMP-1058,Employee 58,Engineering,Senior Developer,71820,2000,32,17955.0,91775.0,11013.0,1125.0,2294.38,77342.62,active,2021-07-20,2024-01-31
59,EMP-1059,Employee 59,Marketing,Marketing Associate,30895,2000,30,7241.02,40136.02,4816.32,1125.0,1003.4,33191.3,resigned,2018-08-08,2024-01-31
60,EMP-1060,Employee 60,HR,HR Associate,22743,2000,3,533.04,25276.04,3033.12,1125.0,631.9,20486.02,active,2022-01-26,2024-01-31
61,EMP-1061,Employee 61,HR,HR Manager,49276,7500,34,13088.94,69864.94,8383.79,1125.0,1746.62,58609.53,active,2018-06-07,2024-01-31
62,EMP-1062,Employee 62,Operations,Operations Manager,59246,3000,37,17125.8,79371.8,9524.62,1125.0,1984.3,66737.88,on_leave,2022-12-09,2024-01-31
63,EMP-1063,Employee 63,Engineering,Tech Lead,97433,3000,11,8373.15,108806.15,13056.74,1125.0,2720.15,91904.26,resigned,2022-08-25,2024-01-31
64,EMP-1064,Employee 64,Marketing,Marketing Manager,54872,5000,3,1286.06,61158.06,7338.97,1125.0,1528.95,51165.14,resigned,2022-02-28,2024-01-31
65,EMP-1065,Employee 65,Operations,Operations Analyst,33275,3000,23,5979.1,42254.1,5070.49,1125.0,1056.35,35002.26,active,2021-07-31,2024-01-31
66,EMP-1066,Employee 66,Sales,Account Executive,42926,3000,7,2347.52,48273.52,5792.82,1125.0,1206.84,40148.86,active,2021-01-21,2024-01-31
67,EMP-1067,Employee 67,HR,Recruiter,30142,7500,37,8712.92,46354.92,5562.59,1125.0,1158.87,38508.46,active,2020-08-04,2024-01-31
68,EMP-1068,Employee 68,Finance,Financial Analyst,38002,7500,14,4156.47,49658.47,5959.02,1125.0,1241.46,41332.99,resigned,2019-08-05,2024-01-31
69,EMP-1069,Employee 69,Finance,Finance Manager,64157,5000,30,15036.8,84193.8,10103.26,1125.0,2104.85,70860.69,on_leave,2020-01-19,2024-01-31
70,EMP-1070,Employee 70,Finance,Financial Analyst,37242,2000,1,290.95,39532.95,4743.95,1125.0,988.32,32675.68,resigned,2023-06-05,2024-01-31
71,EMP-1071,Employee 71,Marketing,Brand Strategist,42205,7500,5,1648.63,51353.63,6162.44,1125.0,1283.84,42782.35,active,2023-04-28,2024-01-31
72,EMP-1072,Employee 72,Sales,Account Executive,44530,7500,14,4870.47,56900.47,6828.06,1125.0,1422.51,47524.9,active,2021-05-17,2024-01-31
73,EMP-1073,Employee 73,Sales,Sales Associate,26497,5000,15,3105.12,34602.12,4152.25,1125.0,865.05,28459.82,active,2023-03-10,2024-01-31
74,EMP-1074,Employee 74,Sales,Sales Manager,53003,7500,11,4554.95,65057.95,7806.95,1125.0,1626.45,54499.55,active,2023-04-28,2024-01-31
75,EMP-1075,Employee 75,HR,HR Manager,48242,3000,1,376.89,51618.89,6194.27,1125.0,1290.47,43009.15,active,2022-07-30,2024-01-31
76,EMP-1076,Employee 76,Engineering,Junior Developer,32131,5000,31,7781.73,44912.73,5389.53,1125.0,1122.82,37275.38,resigned,2019-06-06,2024-01-31
77,EMP-1077,Employee 77,HR,Recruiter,27745,5000,27,5852.46,38597.46,4631.7,1125.0,964.94,31875.82,resigned,2023-04-09,2024-01-31
78,EMP-1078,Employee 78,Engineering,Tech Lead,95838,2000,8,5989.88,103827.88,12459.35,1125.0,2595.7,87647.83,active,2023-03-11,2024-01-31
79,EMP-1079,Employee 79,HR,HR Associate,22859,3000,35,6250.51,32109.51,3853.14,1125.0,802.74,26328.63,active,2023-02-18,2024-01-31
80,EMP-1080,Employee 80,Finance,Financial Analyst,42693,5000,33,11006.79,58699.79,7043.97,1125.0,1467.49,49063.33,active,2019-06-12,2024-01-31
81,EMP-1081,Employee 81,Marketing,Marketing Manager,54207,7500,14,5928.89,67635.89,8116.31,1125.0,1690.9,56703.68,active,2020-04-25,2024-01-31
82,EMP-1082,Employee 82,Sales,Sales Manager,50423,2000,35,13787.54,66210.54,7945.26,1125.0,1655.26,55485.02,active,2021-09-09,2024-01-31
83,EMP-1083,Employee 83,Sales,Sales Associate,29816,2000,1,232.94,32048.94,3845.87,1125.0,801.22,26276.85,on_leave,2022-06-09,2024-01-31
84,EMP-1084,Employee 84,Sales,Sales Manager,54263,7500,13,5511.09,67274.09,8072.89,1125.0,1681.85,56394.35,active,2022-07-03,2024-01-31
85,EMP-1085,Employee 85,Marketing,Marketing Associate,27534,2000,21,4517.3,34051.3,4086.16,1125.0,851.28,27988.86,active,2023-02-26,2024-01-31
86,EMP-1086,Employee 86,Marketing,Brand Strategist,46863,7500,15,5491.76,59854.76,7182.57,1125.0,1496.37,50050.82,active,2021-01-18,2024-01-31
87,EMP-1087,Employee 87,Sales,Sales Manager,49856,3000,1,389.5,53245.5,6389.46,1125.0,1331.14,44399.9,resigned,2018-08-28,2024-01-31
88,EMP-1088,Employee 88,Operations,Operations Analyst,30126,5000,26,6119.34,41245.34,4949.44,1125.0,1031.13,34139.77,active,2018-08-13,2024-01-31
89,EMP-1089,Employee 89,Finance,Finance Manager,63056,3000,33,16256.63,82312.63,9877.52,1125.0,2057.82,69252.29,active,2018-11-06,2024-01-31
90,EMP-1090,Employee 90,Engineering,Tech Lead,94761,3000,27,19988.65,117749.65,14129.96,1125.0,2943.74,99550.95,active,2020-03-27,2024-01-31
91,EMP-1091,Employee 91,Sales,Sales Manager,49204,3000,13,4997.28,57201.28,6864.15,1125.0,1430.03,47782.1,resigned,2018-03-18,2024-01-31
92,EMP-1092,Employee 92,Marketing,Marketing Manager,55495,2000,6,2601.33,60096.33,7211.56,1125.0,1502.41,50257.36,active,2021-01-30,2024-01-31
93,EMP-1093,Employee 93,Operations,Logistics Officer,34933,3000,10,2729.14,40662.14,4879.46,1125.0,1016.55,33641.13,active,2023-05-14,2024-01-31
94,EMP-1094,Employee 94,HR,Recruiter,28129,2000,34,7471.77,37600.77,4512.09,1125.0,940.02,31023.66,active,2018-05-10,2024-01-31
95,EMP-1095,Employee 95,Engineering,Senior Developer,69196,7500,18,9730.69,86426.69,10371.2,1125.0,2160.67,72769.82,resigned,2018-10-26,2024-01-31
96,EMP-1096,Employee 96,Marketing,Brand Strategist,45725,2000,26,9287.89,57012.89,6841.55,1125.0,1425.32,47621.02,active,2022-10-12,2024-01-31
97,EMP-1097,Employee 97,HR,HR Manager,49086,5000,2,766.97,54852.97,6582.36,1125.0,1371.32,45774.29,active,2022-09-03,2024-01-31
98,EMP-1098,Employee 98,Marketing,Marketing Manager,52467,2000,19,7788.07,62255.07,7470.61,1125.0,1556.38,52103.08,active,2022-08-07,2024-01-31
99,EMP-1099,Employee 99,Engineering,Senior Developer,70565,3000,27,14884.8,88449.8,10613.98,1125.0,2211.25,74499.57,active,2019-10-12,2024-01-31
100,EMP-1100,Employee 100,Engineering,Senior Developer,70514,5000,18,9916.03,85430.03,10251.6,1125.0,2135.75,71917.68,active,2019-09-02,2024-01-31
101,EMP-1101,Employee 101,Finance,Finance Manager,67365,5000,22,11578.36,83943.36,10073.2,1125.0,2098.58,70646.58,active,2018-06-25,2024-01-31
102,EMP-1102,Employee 102,Sales,Sales Associate,28075,7500,7,1535.35,37110.35,4453.24,1125.0,927.76,30604.35,active,2021-11-15,2024-01-31
103,EMP-1103,Employee 103,HR,Recruiter,27503,7500,19,4082.48,39085.48,4690.26,1125.0,977.14,32293.08,on_leave,2019-05-01,2024-01-31
104,EMP-1104,Employee 104,Sales,Account Executive,44784,3000,37,12945.38,60729.38,7287.53,1125.0,1518.23,50798.62,active,2019-03-27,2024-01-31
105,EMP-1105,Employee 105,HR,HR Manager,47278,7500,25,9233.98,64011.98,7681.44,1125.0,1600.3,53605.24,resigned,2020-02-05,2024-01-31
106,EMP-1106,Employee 106,Finance,Financial Analyst,37347,2000,34,9920.3,49267.3,5912.08,1125.0,1231.68,40998.54,active,2022-02-05,2024-01-31
107,EMP-1107,Employee 107,HR,Recruiter,29345,2000,15,3438.87,34783.87,4174.06,1125.0,869.6,28615.21,active,2020-03-14,2024-01-31
108,EMP-1108,Employee 108,HR,Recruiter,31216,5000,25,6096.88,42312.88,5077.55,1125.0,1057.82,35052.51,resigned,2022-04-05,2024-01-31
109,EMP-1109,Employee 109,Operations,Operations Analyst,32446,7500,27,6844.08,46790.08,5614.81,1125.0,1169.75,38880.52,active,2019-01-25,2024-01-31
110,EMP-1110,Employee 110,Operations,Operations Analyst,29882,2000,30,7003.59,38885.59,4666.27,1125.0,972.14,32122.18,active,2019-08-27,2024-01-31
111,EMP-1111,Employee 111,Finance,Accountant,37237,3000,29,8436.51,48673.51,5840.82,1125.0,1216.84,40490.85,active,2021-01-26,2024-01-31
112,EMP-1112,Employee 112,Finance,Financial Analyst,41512,5000,22,7134.88,53646.88,6437.63,1125.0,1341.17,44743.08,active,2021-05-26,2024-01-31
113,EMP-1113,Employee 113,Marketing,Marketing Manager,53091,7500,24,9954.56,70545.56,8465.47,1125.0,1763.64,59191.45,active,2022-07-16,2024-01-31
114,EMP-1114,Employee 114,Marketing,Marketing Associate,29791,2000,32,7447.75,39238.75,4708.65,1125.0,980.97,32424.13,on_leave,2021-04-28,2024-01-31
115,EMP-1115,Employee 115,HR,HR Associate,27756,3000,37,8023.22,38779.22,4653.51,1125.0,969.48,32031.23,active,2021-02-19,2024-01-31
116,EMP-1116,Employee 116,Marketing,Marketing Manager,52993,3000,32,13248.25,69241.25,8308.95,1125.0,1731.03,58076.27,on_leave,2018-02-04,2024-01-31
117,EMP-1117,Employee 117,Finance,Financial Analyst,42229,3000,24,7917.94,53146.94,6377.63,1125.0,1328.67,44315.64,on_leave,2018-02-11,2024-01-31
118,EMP-1118,Employee 118,Engineering,Tech Lead,97065,7500,30,22749.61,127314.61,15277.75,1125.0,3182.87,107728.99,active,2020-11-25,2024-01-31
119,EMP-1119,Employee 119,HR,HR Associate,22315,5000,10,1743.36,29058.36,3487.0,1125.0,726.46,23719.9,active,2020-09-03,2024-01-31
120,EMP-1120,Employee 120,Engineering,Junior Developer,32803,3000,30,7688.2,43491.2,5218.94,1125.0,1087.28,36059.98,active,2023-04-14,2024-01-31
121,EMP-1121,Employee 121,Finance,Accountant,35766,7500,0,0.0,43266.0,5191.92,1125.0,1081.65,35867.43,resigned,2020-12-21,2024-01-31
122,EMP-1122,Employee 122,Marketing,Marketing Associate,25569,2000,30,5992.73,33561.73,4027.41,1125.0,839.04,27570.28,resigned,2019-12-24,2024-01-31
123,EMP-1123,Employee 123,Engineering,Senior Developer,69062,7500,31,16725.95,93287.95,11194.55,1125.0,2332.2,78636.2,active,2019-10-14,2024-01-31
124,EMP-1124,Employee 124,Sales,Sales Associate,29381,7500,28,6427.09,43308.09,5196.97,1125.0,1082.7,35903.42,on_leave,2023-06-06,2024-01-31
125,EMP-1125,Employee 125,Engineering,Junior Developer,32367,5000,6,1517.2,38884.2,4666.1,1125.0,972.11,32120.99,active,2018-01-16,2024-01-31
126,EMP-1126,Employee 126,Finance,Accountant,38364,2000,34,10190.44,50554.44,6066.53,1125.0,1263.86,42099.05,active,2020-07-13,2024-01-31
127,EMP-1127,Employee 127,Operations,Operations Analyst,31443,7500,32,7860.75,46803.75,5616.45,1125.0,1170.09,38892.21,active,2020-06-05,2024-01-31
128,EMP-1128,Employee 128,Engineering,Tech Lead,92274,3000,10,7208.91,102482.91,12297.95,1125.0,2562.07,86497.89,active,2019-01-13,2024-01-31
129,EMP-1129,Employee 129,Operations,Operations Manager,59322,3000,36,16684.31,79006.31,9480.76,1125.0,1975.16,66425.39,active,2018-06-15,2024-01-31
130,EMP-1130,Employee 130,Finance,Financial Analyst,38432,5000,38,11409.5,54841.5,6580.98,1125.0,1371.04,45764.48,active,2019-09-03,2024-01-31
131,EMP-1131,Employee 131,HR,HR Associate,25137,5000,23,4516.8,34653.8,4158.46,1125.0,866.35,28503.99,active,2023-06-06,2024-01-31
132,EMP-1132,Employee 132,Engineering,Tech Lead,96821,3000,40,30256.56,130077.56,15609.31,1125.0,3251.94,110091.31,on_leave,2018-03-12,2024-01-31
133,EMP-1133,Employee 133,Finance,Accountant,36568,5000,4,1142.75,42710.75,5125.29,1125.0,1067.77,35392.69,active,2020-01-31,2024-01-31
134,EMP-1134,Employee 134,Sales,Sales Associate,24363,2000,2,380.67,26743.67,3209.24,1125.0,668.59,21740.84,resigned,2018-12-28,2024-01-31
135,EMP-1135,Employee 135,Finance,Financial Analyst,37446,7500,10,2925.47,47871.47,5744.58,1125.0,1196.79,39805.1,on_leave,2020-02-23,2024-01-31
136,EMP-1136,Employee 136,Finance,Finance Manager,67179,3000,6,3149.02,73328.02,8799.36,1125.0,1833.2,61570.46,on_leave,2019-06-21,2024-01-31
137,EMP-1137,Employee 137,HR,HR Associate,24108,7500,35,6592.03,38200.03,4584.0,1125.0,955.0,31536.03,active,2022-07-10,2024-01-31
138,EMP-1138,Employee 138,Sales,Sales Associate,27823,7500,32,6955.75,42278.75,5073.45,1125.0,1056.97,35023.33,on_leave,2022-02-04,2024-01-31
139,EMP-1139,Employee 139,Engineering,Junior Developer,35958,2000,29,8146.73,46104.73,5532.57,1125.0,1152.62,38294.54,active,2018-12-22,2024-01-31
140,EMP-1140,Employee 140,Finance,Finance Manager,64293,5000,8,4018.31,73311.31,8797.36,1125.0,1832.78,61556.17,active,2021-05-03,2024-01-31
141,EMP-1141,Employee 141,HR,HR Manager,51332,7500,34,13635.06,72467.06,8696.05,1125.0,1811.68,60834.33,resigned,2020-12-10,2024-01-31
142,EMP-1142,Employee 142,Marketing,Marketing Manager,55084,5000,8,3442.75,63526.75,7623.21,1125.0,1588.17,53190.37,active,2021-03-23,2024-01-31
143,EMP-1143,Employee 143,Finance,Financial Analyst,39283,7500,11,3375.88,50158.88,6019.07,1125.0,1253.97,41760.84,resigned,2020-09-22,2024-01-31
144,EMP-1144,Employee 144,Operations,Operations Manager,59900,2000,6,2807.81,64707.81,7764.94,1125.0,1617.7,54200.17,on_leave,2022-05-11,2024-01-31
145,EMP-1145,Employee 145,Finance,Finance Manager,65248,3000,38,19370.5,87618.5,10514.22,1125.0,2190.46,73788.82,active,2019-05-21,2024-01-31
146,EMP-1146,Employee 146,Operations,Logistics Officer,36292,2000,30,8505.94,46797.94,5615.75,1125.0,1169.95,38887.24,active,2018-12-02,2024-01-31
147,EMP-1147,Employee 147,Marketing,Brand Strategist,43054,2000,21,7063.55,52117.55,6254.11,1125.0,1302.94,43435.5,active,2019-04-17,2024-01-31
148,EMP-1148,Employee 148,HR,HR Manager,49710,3000,39,15146.02,67856.02,8142.72,1125.0,1696.4,56891.9,resigned,2020-01-18,2024-01-31
149,EMP-1149,Employee 149,Marketing,Marketing Manager,57250,7500,25,11181.64,75931.64,9111.8,1125.0,1898.29,63796.55,on_leave,2018-01-12,2024-01-31
150,EMP-1150,Employee 150,Operations,Operations Manager,55108,7500,35,15068.59,77676.59,9321.19,1125.0,1941.91,65288.49,active,2022-02-20,2024-01-31
151,EMP-1151,Employee 151,Finance,Finance Manager,64939,3000,31,15727.41,83666.41,10039.97,1125.0,2091.66,70409.78,active,2021-07-29,2024-01-31
152,EMP-1152,Employee 152,Engineering,Junior Developer,33646,7500,13,3417.17,44563.17,5347.58,1125.0,1114.08,36976.51,active,2021-11-14,2024-01-31
153,EMP-1153,Employee 153,Operations,Operations Manager,55309,3000,9,3888.91,62197.91,7463.75,1125.0,1554.95,52054.21,active,2018-04-07,2024-01-31
154,EMP-1154,Employee 154,HR,HR Associate,22644,7500,34,6014.81,36158.81,4339.06,1125.0,903.97,29790.78,active,2018-06-13,2024-01-31
155,EMP-1155,Employee 155,Engineering,Junior Developer,37512,5000,22,6447.38,48959.38,5875.13,1125.0,1223.98,40735.27,active,2018-09-08,2024-01-31
156,EMP-1156,Employee 156,Finance,Accountant,39282,3000,38,11661.84,53943.84,6473.26,1125.0,1348.6,44996.98,active,2023-04-14,2024-01-31
157,EMP-1157,Employee 157,Sales,Sales Manager,49188,7500,37,14218.41,70906.41,8508.77,1125.0,1772.66,59499.98,active,2021-11-07,2024-01-31
158,EMP-1158,Employee 158,Engineering,Senior Developer,70430,2000,18,9904.22,82334.22,9880.11,1125.0,2058.36,69270.75,resigned,2023-06-16,2024-01-31
159,EMP-1159,Employee 159,Finance,Finance Manager,66108,2000,20,10329.38,78437.38,9412.49,1125.0,1960.93,65938.96,active,2023-05-27,2024-01-31
160,EMP-1160,Employee 160,Marketing,Marketing Associate,29169,2000,13,2962.48,34131.48,4095.78,1125.0,853.29,28057.41,on_leave,2018-05-05,2024-01-31
161,EMP-1161,Employee 161,Sales,Account Executive,43029,7500,35,11765.74,62294.74,7475.37,1125.0,1557.37,52137.0,resigned,2021-07-09,2024-01-31
162,EMP-1162,Employee 162,Finance,Accountant,38761,7500,6,1816.92,48077.92,5769.35,1125.0,1201.95,39981.62,active,2019-08-03,2024-01-31
163,EMP-1163,Employee 163,Finance,Finance Manager,63855,5000,9,4489.8,73344.8,8801.38,1125.0,1833.62,61584.8,active,2019-07-31,2024-01-31
164,EMP-1164,Employee 164,Sales,Sales Associate,25101,3000,39,7647.96,35748.96,4289.88,1125.0,893.72,29440.36,active,2020-05-19,2024-01-31
165,EMP-1165,Employee 165,Finance,Accountant,40545,7500,14,4434.61,52479.61,6297.55,1125.0,1311.99,43745.07,active,2021-01-04,2024-01-31
166,EMP-1166,Employee 166,Sales,Sales Associate,28387,5000,38,8427.39,41814.39,5017.73,1125.0,1045.36,34626.3,active,2019-10-06,2024-01-31
167,EMP-1167,Employee 167,Operations,Operations Manager,60038,2000,19,8911.89,70949.89,8513.99,1125.0,1773.75,59537.15,active,2018-04-25,2024-01-31
168,EMP-1168,Employee 168,Marketing,Brand Strategist,45742,3000,15,5360.39,54102.39,6492.29,1125.0,1352.56,45132.54,active,2022-01-21,2024-01-31
169,EMP-1169,Employee 169,Engineering,Tech Lead,93324,2000,0,0.0,95324.0,11438.88,1125.0,2383.1,80377.02,on_leave,2021-12-28,2024-01-31
170,EMP-1170,Employee 170,Finance,Accountant,38531,5000,16,4816.38,48347.38,5801.69,1125.0,1208.68,40212.01,resigned,2019-04-07,2024-01-31
171,EMP-1171,Employee 171,Engineering,Junior Developer,34001,2000,25,6640.82,42641.82,5117.02,1125.0,1066.05,35333.75,active,2019-10-24,2024-01-31
