emp_id,employee_code,full_name,email,dept_id,position,salary,performance_score,absences,overtime_hrs,status,hire_date
70,EMP-2070,Edgar Mendoza,edgar.mendoza@company.com,8,Support Manager,43580.28,1.8,27,53,active,2015-11-10
71,EMP-2071,Edgar Rivera,edgar.rivera@company.com,4,HR Manager,69943.25,2.62,19,32,active,2019-09-26
72,EMP-2072,Miguel Garcia,miguel.garcia@company.com,10,SVP,226481.28,1.79,22,77,on_leave,2018-10-28
73,EMP-2073,Donna Morales,donna.morales@company.com,5,Sales Associate,32689.09,4.22,18,57,active,2023-01-01
74,EMP-2074,Ivan Ortiz,ivan.ortiz@company.com,8,Support Manager,52944.12,3.64,19,49,active,2018-04-30
75,EMP-2075,Rafael Flores,rafael.flores@company.com,6,COO,147668.02,4.13,6,39,active,2018-02-21
76,EMP-2076,Paolo Aquino,paolo.aquino@company.com,7,Senior Data Analyst,71828.72,3.49,27,22,on_leave,2018-03-12
77,EMP-2077,Carlo Bautista,carlo.bautista@company.com,8,Support Director,69627.75,2.45,20,30,on_leave,2019-04-30
78,EMP-2078,Ana Reyes,ana.reyes@company.com,7,Data Analyst,53190.08,2.59,17,55,active,2022-06-30
79,EMP-2079,Diego Tan,diego.tan@company.com,4,HR Associate,24415.64,3.9,22,18,resigned,2020-06-05
80,EMP-2080,Carlo Diaz,carlo.diaz@company.com,4,HR Associate,29872.32,4.25,4,41,on_leave,2016-07-25
81,EMP-2081,Andrei Reyes,andrei.reyes@company.com,7,Senior Data Analyst,73358.03,4.83,22,65,resigned,2020-03-04
82,EMP-2082,Carlo Go,carlo.go@company.com,4,HR Specialist,35381.76,2.12,3,59,resigned,2019-09-08
83,EMP-2083,Rachel Mendoza,rachel.mendoza@company.com,2,Brand Director,80617.64,3.92,29,63,active,2019-09-20
84,EMP-2084,Carmen Santos,carmen.santos@company.com,10,C-Suite,340126.81,2.13,10,66,active,2020-11-04
85,EMP-2085,Hannah Diaz,hannah.diaz@company.com,8,Support Associate,20372.06,1.76,29,37,on_leave,2015-09-21
86,EMP-2086,Edgar Ortiz,edgar.ortiz@company.com,8,Support Manager,46060.49,2.62,29,17,active,2015-03-19
87,EMP-2087,Andrei Tan,andrei.tan@company.com,9,Senior Associate,84005.05,2.61,1,30,active,2019-02-05
88,EMP-2088,Gelo Reyes,gelo.reyes@company.com,9,Legal Associate,42595.41,4.52,20,50,resigned,2016-02-17
89,EMP-2089,Ivan Ortiz,ivan.ortiz@company.com,1,Software Architect,154110.45,4.78,28,73,active,2021-09-13
90,EMP-2090,Rosa Tan,rosa.tan@company.com,6,Operations Specialist,43890.73,3.04,9,60,resigned,2020-04-04
91,EMP-2091,Juan Mendoza,juan.mendoza@company.com,1,Senior Developer,77828.04,3.02,24,68,active,2017-08-28
92,EMP-2092,Paolo Reyes,paolo.reyes@company.com,9,Legal Associate,63975.38,2.91,26,11,active,2021-04-15
93,EMP-2093,Rosa dela Cruz,rosa.delacruz@company.com,6,COO,143941.66,4.31,1,20,active,2022-12-18
94,EMP-2094,Faith Torres,faith.torres@company.com,6,COO,185975.39,3.93,0,68,active,2018-02-21
95,EMP-2095,Miguel Diaz,miguel.diaz@company.com,10,SVP,204886.79,4.02,25,10,resigned,2022-06-23
96,EMP-2096,Diego Go,diego.go@company.com,10,CEO,474964.62,3.01,19,18,active,2016-10-30
97,EMP-2097,Gelo Lim,gelo.lim@company.com,9,Senior Associate,76083.87,1.74,9,47,active,2020-12-11
98,EMP-2098,Ana Rivera,ana.rivera@company.com,4,HR Associate,22346.87,4.26,7,38,active,2021-02-25
99,EMP-2099,Hannah Flores,hannah.flores@company.com,9,General Counsel,160620.07,4.53,26,1,resigned,2017-01-19
100,EMP-2100,Rosa Lim,rosa.lim@company.com,9,Legal Manager,107967.56,3.48,9,23,active,2015-10-07
101,EMP-2101,Jasmine Rivera,jasmine.rivera@company.com,8,Support Associate,20720.78,1.49,15,9,resigned,2023-02-08
102,EMP-2102,Sofia Flores,sofia.flores@company.com,9,Senior Associate,67230.04,3.42,1,12,on_leave,2019-01-21
103,EMP-2103,Faith Gomez,faith.gomez@company.com,6,Operations Specialist,58257.6,1.82,1,77,active,2017-12-23
104,EMP-2104,Kevin Garcia,kevin.garcia@company.com,5,Sales Director,103110.85,3.21,3,29,active,2020-04-14
105,EMP-2105,Cedric Bautista,cedric.bautista@company.com,10,C-Suite,316774.98,1.68,4,71,resigned,2015-06-29
106,EMP-2106,Juan Diaz,juan.diaz@company.com,9,Senior Associate,89356.92,4.17,21,9,resigned,2015-06-18
107,EMP-2107,Paolo Reyes,paolo.reyes@company.com,8,Senior Support,36112.66,2.6,0,76,active,2019-04-01
108,EMP-2108,Andrei Morales,andrei.morales@company.com,6,Operations Analyst,41142.7,2.04,15,0,active,2018-06-25
109,EMP-2109,Diego Torres,diego.torres@company.com,4,HR Manager,50598.68,3.27,15,5,active,2018-07-04
110,EMP-2110,Cedric Torres,cedric.torres@company.com,1,Software Architect,166789.97,3.1,30,50,active,2016-06-24
111,EMP-2111,Faith Go,faith.go@company.com,3,CFO,213517.02,3.2,14,50,on_leave,2018-03-02
112,EMP-2112,Sofia Santos,sofia.santos@company.com,5,Sales Director,126483.73,2.62,17,65,active,2018-10-08
113,EMP-2113,Hannah Villanueva,hannah.villanueva@company.com,5,Sales Specialist,40912.64,1.04,15,51,active,2016-06-13
114,EMP-2114,Rafael Lim,rafael.lim@company.com,5,Sales Associate,25089.32,3.44,6,9,active,2018-05-07
115,EMP-2115,Ivan Morales,ivan.morales@company.com,2,Brand Director,103553.61,3.93,7,73,resigned,2018-05-03
116,EMP-2116,Paolo Ortiz,paolo.ortiz@company.com,8,Senior Support,32362.98,4.58,0,37,resigned,2018-11-14
117,EMP-2117,Maria Morales,maria.morales@company.com,3,Senior Analyst,57148.82,4.21,24,32,on_leave,2021-01-31
118,EMP-2118,Diego Castro,diego.castro@company.com,4,HR Associate,30262.27,1.65,21,28,on_leave,2016-05-15
119,EMP-2119,Lucia Castro,lucia.castro@company.com,5,Sales Director,96621.02,4.07,11,51,active,2016-10-09
120,EMP-2120,Miguel Bautista,miguel.bautista@company.com,5,Sales Associate,33703.1,4.75,26,49,active,2016-07-31
121,EMP-2121,Kevin Aquino,kevin.aquino@company.com,8,Support Director,85239.93,2.72,28,77,active,2023-03-03
122,EMP-2122,Cedric Reyes,cedric.reyes@company.com,8,Support Manager,59719.9,3.93,15,74,active,2022-07-05
123,EMP-2123,Nina Bautista,nina.bautista@company.com,8,Support Director,73496.25,1.31,12,9,on_leave,2016-10-11
124,EMP-2124,Rafael Mendoza,rafael.mendoza@company.com,1,Tech Lead,117122.46,2.01,16,64,active,2021-12-22
125,EMP-2125,Maria Ramos,maria.ramos@company.com,10,CEO,394503.5,4.16,14,37,resigned,2021-07-06
126,EMP-2126,Carmen Torres,carmen.torres@company.com,4,HR Specialist,32125.41,2.66,18,1,active,2023-01-08
127,EMP-2127,Rafael Ortiz,rafael.ortiz@company.com,10,SVP,265373.8,2.19,5,49,active,2015-04-23
128,EMP-2128,Jose Aquino,jose.aquino@company.com,6,Operations Specialist,58196.23,4.95,19,76,active,2021-07-23
129,EMP-2129,Nina Torres,nina.torres@company.com,8,Support Director,75391.82,1.66,11,8,active,2020-10-10
130,EMP-2130,Carlo Castro,carlo.castro@company.com,1,Tech Lead,93691.9,1.7,2,30,active,2020-03-24
131,EMP-2131,Sofia Bautista,sofia.bautista@company.com,3,CFO,239057.37,2.57,18,31,active,2015-09-23
132,EMP-2132,Antonio Lim,antonio.lim@company.com,8,Support Associate,23535.12,3.61,20,68,resigned,2021-02-11
133,EMP-2133,Ivan Castro,ivan.castro@company.com,1,Senior Developer,63531.19,1.78,28,25,resigned,2019-09-04
134,EMP-2134,Carmen Gomez,carmen.gomez@company.com,4,HR Manager,70312.29,1.68,8,51,active,2016-07-02
135,EMP-2135,Rachel Castro,rachel.castro@company.com,5,Sales Associate,31678.31,4.42,14,11,on_leave,2018-06-22
136,EMP-2136,Rosa Go,rosa.go@company.com,6,Operations Specialist,43407.83,1.36,15,6,on_leave,2019-02-02
137,EMP-2137,Cedric Castro,cedric.castro@company.com,1,Junior Developer,44193.35,2.39,15,33,resigned,2017-05-18
138,EMP-2138,Diego Ramos,diego.ramos@company.com,2,Marketing Specialist,44574.86,3.82,9,11,active,2018-10-18
139,EMP-2139,Diego Morales,diego.morales@company.com,1,Software Architect,159543.0,4.78,12,71,resigned,2017-04-22
140,EMP-2140,Ivan Mendoza,ivan.mendoza@company.com,5,Sales Manager,80633.48,4.78,14,50,active,2021-01-22
141,EMP-2141,Faith Mendoza,faith.mendoza@company.com,8,Support Associate,23451.31,1.59,9,71,active,2020-04-30
142,EMP-2142,Juan Santos,juan.santos@company.com,3,Finance Manager,82014.47,3.76,14,13,active,2018-03-17
143,EMP-2143,Jasmine Lim,jasmine.lim@company.com,7,Data Analyst,54554.85,1.34,0,59,active,2017-08-24
144,EMP-2144,Edgar Ramos,edgar.ramos@company.com,1,Junior Developer,36391.3,1.95,1,21,resigned,2018-02-28
145,EMP-2145,Nina Flores,nina.flores@company.com,1,Junior Developer,44513.88,3.28,10,39,active,2022-07-18
146,EMP-2146,Rosa Lim,rosa.lim@company.com,10,C-Suite,352585.13,4.61,4,44,active,2019-05-01
147,EMP-2147,Cedric Flores,cedric.flores@company.com,10,CEO,407587.35,3.6,3,61,on_leave,2015-08-13
148,EMP-2148,Juan Bautista,juan.bautista@company.com,5,Sales Specialist,38633.93,3.66,30,21,on_leave,2019-06-11
149,EMP-2149,Elena Aquino,elena.aquino@company.com,2,Marketing Specialist,50249.68,4.6,29,47,active,2020-04-27
150,EMP-2150,Antonio Garcia,antonio.garcia@company.com,2,Brand Director,112512.88,4.24,20,1,on_leave,2015-03-14
151,EMP-2151,Antonio dela Cruz,antonio.delacruz@company.com,5,Sales Specialist,49147.35,2.09,18,2,active,2020-08-20
152,EMP-2152,Ivan Santos,ivan.santos@company.com,7,Senior Data Analyst,84372.0,4.06,26,25,resigned,2018-12-27
153,EMP-2153,Sofia Castro,sofia.castro@company.com,8,Support Associate,18008.13,3.82,24,27,active,2021-12-19
154,EMP-2154,Faith Ortiz,faith.ortiz@company.com,7,Data Science Lead,120634.64,3.89,18,52,active,2019-03-31
155,EMP-2155,Paolo Torres,paolo.torres@company.com,8,Senior Support,32172.55,2.15,17,28,active,2017-11-21
156,EMP-2156,Miguel Rivera,miguel.rivera@company.com,4,HR Director,102605.65,3.93,12,12,resigned,2023-02-26
157,EMP-2157,Rachel Go,rachel.go@company.com,9,Senior Associate,84260.7,2.96,16,77,active,2022-10-17
158,EMP-2158,Diego Villanueva,diego.villanueva@company.com,2,Marketing Specialist,47435.02,4.79,12,5,on_leave,2020-06-21
159,EMP-2159,Maria Mendoza,maria.mendoza@company.com,5,Sales Director,115378.33,4.28,30,41,active,2019-03-26
160,EMP-2160,Maria Garcia,maria.garcia@company.com,8,Support Director,93761.87,2.31,13,74,active,2023-03-06
161,EMP-2161,Rachel Torres,rachel.torres@company.com,7,Senior Data Analyst,66684.01,4.92,25,48,on_leave,2022-03-31
162,EMP-2162,Elena Lim,elena.lim@company.com,7,Data Analyst,42183.97,4.14,13,65,on_leave,2016-12-23
163,EMP-2163,Elena Ramos,elena.ramos@company.com,7,Data Engineer,102420.99,1.09,17,36,active,2019-08-09
164,EMP-2164,Sofia Tan,sofia.tan@company.com,1,Software Architect,162559.14,3.79,13,72,active,2015-08-09
165,EMP-2165,Carmen Gomez,carmen.gomez@company.com,10,VP,179052.69,3.78,8,52,resigned,2015-12-14
166,EMP-2166,Rachel Tan,rachel.tan@company.com,5,Sales Director,108742.95,2.28,21,78,active,2020-11-01
167,EMP-2167,Rachel Tan,rachel.tan@company.com,5,Sales Director,97153.04,4.36,26,11,active,2015-10-06
168,EMP-2168,Kevin Rivera,kevin.rivera@company.com,8,Support Manager,63002.14,4.66,23,34,active,2017-07-25
169,EMP-2169,Gelo Lim,gelo.lim@company.com,5,Sales Specialist,46727.79,3.95,24,64,on_leave,2017-01-15
170,EMP-2170,Maria Morales,maria.morales@company.com,3,Finance Manager,98601.98,4.27,18,47,active,2016-10-16
171,EMP-2171,Rosa Gomez,rosa.gomez@company.com,6,Operations Manager,75571.51,4.68,26,43,active,2022-05-27
172,EMP-2172,Nina Morales,nina.morales@company.com,6,Operations Manager,61949.87,4.14,3,2,on_leave,2019-02-06
173,EMP-2173,Kevin Morales,kevin.morales@company.com,1,Tech Lead,98824.54,4.91,5,80,active,2019-06-06
174,EMP-2174,Edgar Villanueva,edgar.villanueva@company.com,10,VP,173048.03,3.25,8,75,active,2021-09-26
175,EMP-2175,Bianca Aquino,bianca.aquino@company.com,10,SVP,254996.91,3.65,17,66,active,2022-09-12
176,EMP-2176,Rafael Castro,rafael.castro@company.com,2,Brand Director,92932.47,1.89,4,77,on_leave,2017-01-04
177,EMP-2177,Miguel Bautista,miguel.bautista@company.com,1,Junior Developer,39463.39,4.75,28,30,active,2018-10-19
178,EMP-2178,Kevin Ramos,kevin.ramos@company.com,8,Senior Support,36142.36,4.41,15,11,active,2019-03-06
179,EMP-2179,Juan Mendoza,juan.mendoza@company.com,6,Operations Manager,76633.67,2.66,24,51,active,2020-07-21
180,EMP-2180,Diego Reyes,diego.reyes@company.com,8,Support Associate,19447.56,1.69,24,24,on_leave,2019-11-30
181,EMP-2181,Lucia dela Cruz,lucia.delacruz@company.com,7,Data Engineer,108357.64,3.06,17,30,active,2018-06-10
182,EMP-2182,Lucia Bautista,lucia.bautista@company.com,7,Senior Data Analyst,66779.19,3.42,9,30,active,2016-03-13
183,EMP-2183,Jose Reyes,jose.reyes@company.com,9,Legal Manager,110095.54,2.75,14,76,active,2022-01-26
184,EMP-2184,Faith Lim,faith.lim@company.com,10,SVP,208225.98,4.49,14,74,on_leave,2016-03-30
185,EMP-2185,Mark Ortiz,mark.ortiz@company.com,3,Finance Manager,94717.51,3.63,19,18,active,2022-12-15
186,EMP-2186,Rafael Morales,rafael.morales@company.com,2,Marketing Specialist,41249.56,2.4,1,15,active,2019-04-06
187,EMP-2187,Diego Lim,diego.lim@company.com,6,Operations Specialist,55845.0,4.47,14,19,on_leave,2015-10-24
188,EMP-2188,Edgar Ramos,edgar.ramos@company.com,10,VP,193761.61,2.07,20,39,active,2016-04-09
189,EMP-2189,Rosa Reyes,rosa.reyes@company.com,9,Legal Associate,53804.67,2.58,0,12,resigned,2016-07-27
190,EMP-2190,Ivan Flores,ivan.flores@company.com,6,Operations Analyst,33784.25,4.0,16,19,active,2015-07-24
191,EMP-2191,Andrei Garcia,andrei.garcia@company.com,8,Support Director,78190.36,1.26,19,58,on_leave,2020-08-22
192,EMP-2192,Diego Villanueva,diego.villanueva@company.com,9,Legal Manager,137498.3,4.2,13,33,active,2022-01-29
193,EMP-2193,Juan Castro,juan.castro@company.com,8,Support Associate,18381.3,3.74,3,3,active,2015-06-13
194,EMP-2194,Ana dela Cruz,ana.delacruz@company.com,4,HR Manager,63135.83,1.16,5,29,active,2016-10-31
195,EMP-2195,Faith Ortiz,faith.ortiz@company.com,6,Operations Manager,61651.38,2.67,21,34,active,2020-03-27
196,EMP-2196,Andrei Ortiz,andrei.ortiz@company.com,10,C-Suite,321334.64,2.92,21,27,active,2019-12-04
197,EMP-2197,Juan Diaz,juan.diaz@company.com,8,Senior Support,37928.55,3.83,9,9,active,2019-11-08
198,EMP-2198,Jose Castro,jose.castro@company.com,1,Junior Developer,39299.45,2.74,21,60,on_leave,2017-10-25
199,EMP-2199,Ana Diaz,ana.diaz@company.com,3,Finance Manager,89628.77,3.0,11,9,active,2017-06-27
200,EMP-2200,Lucia Tan,lucia.tan@company.com,7,Data Engineer,75613.36,2.21,2,51,on_leave,2022-05-23
201,EMP-2201,Elena Go,elena.go@company.com,10,CEO,465453.68,4.77,24,78,active,2019-01-06
202,EMP-2202,Elena Mendoza,elena.mendoza@company.com,6,COO,195492.25,1.88,22,63,active,2017-09-17
203,EMP-2203,Rachel Mendoza,rachel.mendoza@company.com,1,Junior Developer,41025.0,1.12,6,75,active,2021-10-07
204,EMP-2204,Carlo Diaz,carlo.diaz@company.com,7,Data Analyst,43326.31,4.21,3,63,active,2015-08-15
205,EMP-2205,Rachel Villanueva,rachel.villanueva@company.com,9,Legal Manager,101489.93,1.23,11,35,active,2018-08-30
206,EMP-2206,Hannah Ramos,hannah.ramos@company.com,9,Legal Associate,46201.67,4.29,23,61,resigned,2016-11-05
207,EMP-2207,Sofia Reyes,sofia.reyes@company.com,8,Support Director,77687.35,1.66,21,20,active,2021-05-08
208,EMP-2208,Elena Santos,elena.santos@company.com,10,VP,186988.49,2.34,24,11,active,2019-12-01
209,EMP-2209,Paolo Torres,paolo.torres@company.com,6,Operations Manager,77984.18,1.09,27,59,resigned,2018-04-02
210,EMP-2210,Jose Go,jose.go@company.com,5,Sales Specialist,42605.94,1.13,19,59,active,2023-01-18
211,EMP-2211,Jose Go,jose.go@company.com,2,Brand Director,98476.66,4.46,26,70,active,2016-12-11
212,EMP-2212,Nina Mendoza,nina.mendoza@company.com,6,Operations Analyst,28532.63,4.53,22,27,active,2023-02-10
213,EMP-2213,Carmen Garcia,carmen.garcia@company.com,3,Senior Analyst,77428.28,4.78,9,32,active,2015-11-26
214,EMP-2214,Ivan Bautista,ivan.bautista@company.com,7,Senior Data Analyst,63184.47,3.97,22,66,active,2020-07-30
215,EMP-2215,Faith Ramos,faith.ramos@company.com,2,Brand Director,99324.16,3.83,24,49,active,2017-05-20
216,EMP-2216,Miguel Villanueva,miguel.villanueva@company.com,6,Operations Analyst,32328.83,2.43,17,80,on_leave,2018-06-22
217,EMP-2217,Carmen Ramos,carmen.ramos@company.com,5,Sales Specialist,52260.04,3.24,14,61,active,2021-03-20
218,EMP-2218,Paolo Ramos,paolo.ramos@company.com,4,HR Specialist,42545.67,1.09,25,39,active,2018-08-21
219,EMP-2219,Diego Lim,diego.lim@company.com,2,Brand Director,90517.53,2.85,10,74,active,2015-10-10
220,EMP-2220,Jasmine Mendoza,jasmine.mendoza@company.com,1,Senior Developer,78702.38,1.69,24,5,on_leave,2021-04-08
221,EMP-2221,Lisa Gomez,lisa.gomez@company.com,3,Finance Manager,102370.99,2.41,23,77,on_leave,2016-07-08
222,EMP-2222,Hannah Santos,hannah.santos@company.com,9,General Counsel,152058.89,3.92,26,2,active,2020-06-19
223,EMP-2223,Lisa Morales,lisa.morales@company.com,7,Senior Data Analyst,59080.71,3.17,19,27,active,2019-12-13
224,EMP-2224,Faith Aquino,faith.aquino@company.com,7,Data Analyst,41067.78,2.34,13,37,resigned,2019-05-02
225,EMP-2225,Antonio dela Cruz,antonio.delacruz@company.com,6,Operations Specialist,52545.43,4.17,24,69,active,2016-11-04
226,EMP-2226,Edgar Tan,edgar.tan@company.com,2,Marketing Specialist,39084.38,4.21,29,59,resigned,2015-06-28
227,EMP-2227,Rachel Tan,rachel.tan@company.com,9,Legal Associate,44585.91,2.53,15,44,active,2016-06-29
228,EMP-2228,Faith Flores,faith.flores@company.com,3,Financial Analyst,54934.4,4.39,29,31,resigned,2021-01-30
229,EMP-2229,Bianca Flores,bianca.flores@company.com,3,Financial Analyst,35930.11,3.9,12,80,active,2021-03-11
230,EMP-2230,Miguel Go,miguel.go@company.com,6,Operations Specialist,59012.43,2.95,19,30,active,2015-04-17
231,EMP-2231,Miguel Go,miguel.go@company.com,7,Senior Data Analyst,62873.76,3.2,16,75,on_leave,2019-08-09
